step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,errorBalanceOrig,errorBalanceDest,type_TRANSFER,Real_isFraud,Pred_LogisticRegression,Pred_RandomForest,Pred_IsolationForest,AnomalyScore_IF
14,12249.28,0.0,0.0,240159.0,188495.5,-12249.28,63912.78,False,0.0,0.0,0.0,0,-0.3540589132084428
7,401345.69,50499.0,0.0,3746.0,0.0,-350846.69,405091.69,True,0.0,1.0,0.0,0,-0.2502655549619887
9,1154353.99,1154353.99,0.0,0.0,10872.9,0.0,1143481.09,True,1.0,1.0,1.0,0,-0.12709882396088013
12,715176.95,0.0,0.0,2406206.24,3499500.44,-715176.95,-378117.24999999953,False,0.0,0.0,0.0,0,-0.2817576286980102
12,89225.02,49229.0,0.0,96081.37,185306.39,-39996.020000000004,0.0,False,0.0,0.0,0.0,0,-0.3727702807489007
14,45283.86,0.0,0.0,2427941.07,2970004.43,-45283.86,-496779.50000000047,False,0.0,0.0,0.0,0,-0.33807620265492977
11,209286.29,0.0,0.0,1186222.85,1582683.16,-209286.29,-187174.0199999998,False,0.0,0.0,0.0,0,-0.36355700861400025
13,33883.18,59686.0,25802.82,1479039.34,1512922.51,0.0,0.010000000009313226,False,0.0,0.0,0.0,0,-0.3395830241662149
14,169360.91,693249.0,523888.09,0.0,144178.81,-5.820766091346741e-11,25182.100000000006,False,0.0,0.0,0.0,0,-0.20798242820467217
14,522968.34,4223.0,0.0,0.0,522968.34,-518745.34,0.0,False,0.0,0.0,0.0,0,-0.32646898078515535
11,199086.25,10078.0,0.0,287284.92,399465.55,-189008.25,86905.62,False,0.0,0.0,0.0,0,-0.37203790751690774
11,295928.25,0.0,0.0,445268.74,818478.02,-295928.25,-77281.03000000003,False,0.0,0.0,0.0,0,-0.36706929086739004
11,289879.77,20527.0,0.0,444026.3,733906.07,-269352.77,1.1641532182693481e-10,False,0.0,0.0,0.0,0,-0.36989189671747114
13,573114.12,51593.0,0.0,210784.67,814388.19,-521521.12,-30489.399999999907,False,0.0,0.0,0.0,0,-0.324259818333019
13,291077.73,139014.0,0.0,2987968.37,3279046.1,-152063.72999999998,0.0,False,0.0,0.0,0.0,0,-0.32721488602003873
8,204468.19,264930.53,60462.35,2250917.2,2455385.38,-0.009999999972933438,0.01000000024214387,False,0.0,0.0,0.0,0,-0.27480909978272894
12,35457.13,0.0,0.0,49465.17,0.0,-35457.13,84922.29999999999,False,0.0,0.0,0.0,0,-0.3639624755968067
10,94911.88,0.0,0.0,261290.69,356202.57,-94911.88,0.0,False,0.0,0.0,0.0,0,-0.37344849447336675
12,19776.5,933.0,0.0,0.0,19776.5,-18843.5,0.0,False,0.0,0.0,0.0,0,-0.3613280423336894
10,191737.34,31253.0,0.0,0.0,193503.11,-160484.34,-1765.7699999999895,False,0.0,0.0,0.0,0,-0.36875923448789194
9,97556.62,104467.0,6910.38,3693795.15,5758604.36,4.547473508864641e-12,-1967252.5900000003,False,0.0,0.0,0.0,0,-0.2524687183450979
7,144518.57,256.0,0.0,43653.42,1241717.95,-144262.57,-1053545.96,True,0.0,1.0,0.0,0,-0.24241226952706796
11,1169.53,0.0,0.0,2166109.9,2167279.44,-1169.53,-0.01000000024214387,False,0.0,0.0,0.0,0,-0.34503821496085996
12,1127695.57,108.0,0.0,672118.78,1970899.98,-1127587.57,-171085.6299999999,True,0.0,0.0,0.0,0,-0.261758800073111
8,306576.83,0.0,0.0,5262348.91,5568925.74,-306576.83,0.0,False,0.0,0.0,0.0,0,-0.2867719508151786
10,313510.03,0.0,0.0,0.0,313510.03,-313510.03,0.0,False,0.0,0.0,1.0,0,-0.3555363772064374
9,75380.42,0.0,0.0,102320.47,39403.87,-75380.42,138297.02000000002,True,0.0,1.0,0.0,0,-0.29659726969121913
9,1264125.34,0.0,0.0,4817482.42,5938259.19,-1264125.34,143348.56999999937,True,0.0,0.0,0.0,0,-0.19250756944982927
10,51359.94,138773.97,87414.02,20160.0,73240.1,0.00999999999476131,-1720.1600000000035,False,0.0,0.0,0.0,0,-0.3201721232585153
14,192490.75,332475.0,139984.25,162058.34,774845.1,0.0,-420296.01,False,0.0,0.0,0.0,0,-0.2849506000800999
8,87452.55,0.0,0.0,114755.0,101561.18,-87452.55,100646.37,False,0.0,1.0,0.0,0,-0.3465947491787235
13,224351.58,0.0,0.0,4312751.66,4537103.24,-224351.58,0.0,True,0.0,0.0,0.0,0,-0.2730071352654444
10,84838.07,0.0,0.0,405660.8,490498.88,-84838.07,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.373314529336722
14,55688.64,90085.0,34396.36,105146.0,59011.79,0.0,101822.85,False,0.0,0.0,0.0,0,-0.3268915605908444
10,119569.26,132302.91,12733.66,61069.16,180638.41,-0.009999999991123332,0.009999999980209395,False,0.0,1.0,0.0,0,-0.3481490814111885
9,129666.27,193787.91,64121.64,2550122.48,3106277.67,0.0,-426488.9199999999,False,0.0,0.0,0.0,0,-0.29414474641594424
11,186727.56,0.0,0.0,709554.44,602568.48,-186727.56,293713.52,False,0.0,0.0,0.0,0,-0.3674481637707107
13,241324.21,20852.0,0.0,809162.12,1050486.33,-220472.21,0.0,True,0.0,0.0,0.0,0,-0.31342744383993404
9,168388.99,0.0,0.0,1436438.68,2186973.01,-168388.99,-582145.3399999999,False,0.0,0.0,0.0,0,-0.3449919009777212
14,159839.95,2556.0,0.0,0.0,159839.95,-157283.95,0.0,False,0.0,0.0,0.0,0,-0.36049671985862575
13,539676.96,1280691.7,741014.73,367544.76,907221.73,0.010000000009313226,-0.010000000009313226,True,0.0,0.0,0.0,0,-0.11051248262814517
10,271490.58,99517.0,0.0,178811.85,486390.35,-171973.58000000002,-36087.919999999925,False,0.0,0.0,0.0,0,-0.3547646526951126
10,560238.17,320.0,0.0,671859.54,1232097.71,-559918.17,0.0,False,0.0,0.0,0.0,0,-0.3295468181284666
1,135357.16,0.0,0.0,11259893.58,10681238.79,-135357.16,714011.9500000011,False,0.0,0.0,0.0,0,-0.10304055760588593
10,83015.31,459781.77,376766.46,104519.98,622298.36,0.0,-434763.07,False,0.0,0.0,0.0,0,-0.2714642659373832
8,1393506.9,22954.0,0.0,4749.19,1986773.49,-1370552.9,-588517.4000000001,True,0.0,0.0,0.0,0,-0.19486151254723116
12,213910.01,0.0,0.0,416531.72,676039.9,-213910.01,-45598.17000000004,False,0.0,0.0,0.0,0,-0.3705264693336278
10,146621.83,455967.67,309345.85,331949.16,658911.06,-0.010000000009313226,-180340.07000000007,False,0.0,0.0,0.0,0,-0.2737778463820415
14,538248.35,498672.0,0.0,317555.0,1369359.56,-39576.34999999998,-513556.2100000001,False,0.0,1.0,0.0,0,-0.2533023526685913
8,340846.07,169.0,0.0,71835.64,1070858.6,-340677.07,-658176.8900000001,True,0.0,0.0,0.0,0,-0.27729883155072316
10,689529.84,20817.0,0.0,1549.0,780856.91,-668712.84,-89778.07000000007,True,0.0,0.0,0.0,0,-0.28314025414608535
13,483567.58,716582.0,233014.42,0.0,483567.58,-2.9103830456733704e-11,0.0,False,0.0,0.0,0.0,0,-0.2456186912895758
12,166383.58,0.0,0.0,1296599.57,1729650.67,-166383.58,-266667.5199999998,False,0.0,0.0,0.0,0,-0.36880062891803556
12,2354882.28,2525.0,0.0,0.0,2354882.28,-2352357.28,0.0,True,0.0,0.0,0.0,0,-0.15366254143794988
8,124084.7,291645.0,167560.3,0.0,58626.28,0.0,65458.42,False,0.0,0.0,0.0,0,-0.2867811404529761
10,101092.38,0.0,0.0,429647.67,0.0,-101092.38,530740.05,False,0.0,0.0,0.0,0,-0.34745777916634457
10,107735.48,0.0,0.0,320733.0,0.0,-107735.48,428468.48,False,0.0,0.0,0.0,0,-0.3567571484336823
14,361810.85,368494.0,6683.15,0.0,233654.52,2.3646862246096134e-11,128156.32999999999,False,0.0,1.0,0.0,0,-0.29160948647753504
11,31816.24,0.0,0.0,723871.24,674040.64,-31816.24,81646.83999999997,False,0.0,0.0,0.0,0,-0.3660085210571988
14,47483.91,7019.0,0.0,179159.76,391037.61,-40464.91,-164393.93999999997,False,0.0,0.0,0.0,0,-0.3613292759559395
